stock_no,category,colour,shape,carat,carat_band,clarity,cut,polish,symmetry,measurements,depth_pct,table_pct,ratio,lab,cert_no,verify_url,video_url
PDPV-215,Fancy Colour,VIVID PINK,ROUND,0.93,Under 1ct,SI1,ID,EX,EX,6.23 - 6.25 * 3.83,61.4,56.0,1.0,IGI,790653240,https://api.igi.org/viewpdf.php?r=790653240,https://workshop.360view.link/360viewer/360view.html?d=3004264-PV-215-PR
PDPV-205,Fancy Colour,VIVID PINK,ROUND,0.92,Under 1ct,SI1,ID,EX,EX,6.20 - 6.23 * 3.84,61.7,58.0,1.0,IGI,791642829,https://api.igi.org/viewpdf.php?r=791642829,https://workshop.360view.link/360viewer/360view.html?d=3004260-PV-205-PR
PDPV-196,Fancy Colour,VIVID PINK,ROUND,0.91,Under 1ct,VS2,ID,EX,EX,6.19 - 6.22 * 3.83,61.7,59.0,1.0,IGI,791642349,https://api.igi.org/viewpdf.php?r=791642349,https://workshop.360view.link/360viewer/360view.html?d=2704268-PV-196
PDPV-221,Fancy Colour,VIVID PINK,ROUND,0.91,Under 1ct,VS2,EX,EX,EX,6.19 - 6.22 * 3.82,61.5,57.0,1.0,IGI,795623009,https://api.igi.org/viewpdf.php?r=795623009,https://workshop.360view.link/360viewer/360view.html?d=2005265-PV-221-PR
PDPV-225,Fancy Colour,FANCY PINK,ROUND,0.91,Under 1ct,VS1,EX,EX,EX,6.13 - 6.15 * 3.83,62.4,57.0,1.0,IGI,801685170,https://api.igi.org/viewpdf.php?r=801685170,https://workshop.360view.link/360viewer/360view.html?d=1706264-PV-225-PR
PDPV-204,Fancy Colour,INTENSE PINK,ROUND,0.89,Under 1ct,VVS2,ID,EX,EX,6.21 - 6.25 * 3.75,60.1,58.0,0.99,IGI,791642828,https://api.igi.org/viewpdf.php?r=791642828,https://workshop.360view.link/360viewer/360view.html?d=3004261-PV-204-PR
PDPV-206,Fancy Colour,INTENSE PINK,ROUND,0.89,Under 1ct,VVS2,ID,EX,EX,6.24 - 6.27 * 3.75,59.9,58.0,1.0,IGI,791642830,https://api.igi.org/viewpdf.php?r=791642830,https://workshop.360view.link/360viewer/360view.html?d=3004266-PV-206-PR
PDPV-213,Fancy Colour,VIVID PINK,ROUND,0.88,Under 1ct,SI2,ID,EX,EX,6.18 - 6.21 * 3.73,60.2,58.0,1.0,IGI,791642837,https://api.igi.org/viewpdf.php?r=791642837,https://workshop.360view.link/360viewer/360view.html?d=3004266-PV-213-PR
PDKP-1923,Fancy Colour,VIVID PINK,SQUARE EMERALD,24.72,10ct+,VS1,,EX,EX,16.23 - 15.94 * 10.31,64.7,66.0,1.02,IGI,754552218,https://api.igi.org/viewpdf.php?r=754552218,https://workshop.360view.link/360viewer/360view.html?d=0801267-PDKP-1923
PDKP-2005,Fancy Colour,VIVID PINK,SQUARE EMERALD,21.37,10ct+,VS2,,EX,EX,15.68 - 15.49 * 9.57,61.8,65.0,1.01,IGI,758589978,https://api.igi.org/viewpdf.php?r=758589978,https://workshop.360view.link/360viewer/360view.html?d=2001263-PDKP-2005
