stock_no,category,colour,shape,carat,carat_band,clarity,cut,polish,symmetry,measurements,depth_pct,table_pct,ratio,lab,cert_no,verify_url,video_url
PDPV-115,Fancy Colour,VIVID PINK,PEAR,6.91,5.00–9.99ct,VVS2,,EX,VG,17.43 - 10.25 * 5.96,58.1,66.0,1.7,IGI,712534975,https://api.igi.org/viewpdf.php?r=712534975,https://workshop.360view.link/360viewer/360view.html?d=2006256-pv115
PDPV-106,Fancy Colour,VIVID PINK,PEAR,6.43,5.00–9.99ct,VVS2,,EX,EX,16.90 - 9.90 * 5.90,59.5,65.0,1.71,IGI,704515621,https://api.igi.org/viewpdf.php?r=704515621,https://workshop.360view.link/360viewer/360view.html?d=0905255-PV-106-PR
PDKP-3063,Fancy Colour,VIVID PINK,PEAR,6.31,5.00–9.99ct,VS1,,EX,EX,16.63 - 9.98 * 5.73,57.4,71.0,1.67,IGI,809685099,https://api.igi.org/viewpdf.php?r=809685099,https://workshop.360view.link/360viewer/360view.html?d=2007266-PDKP-3063
PDKP-1541,Fancy Colour,VIVID PINK,PEAR,6.01,5.00–9.99ct,VS1,,VG,VG,15.75 - 9.42 * 5.44,57.7,65.0,1.67,IGI,742524883,https://api.igi.org/viewpdf.php?r=742524883,https://workshop.360view.link/360viewer/360view.html?d=1111252-pdkp-1541
PDKP-3044,Fancy Colour,VIVID PINK,PEAR,5.36,5.00–9.99ct,VVS2,,EX,EX,14.90 - 9.52 * 5.62,59.0,64.0,1.57,IGI,811630026,https://api.igi.org/viewpdf.php?r=811630026,https://workshop.360view.link/360viewer/360view.html?d=2407266-PDKP-3044
PDKP-3042,Fancy Colour,VIVID PINK,PEAR,5.34,5.00–9.99ct,VVS2,,EX,EX,15.08 - 9.49 * 5.42,57.1,69.0,1.59,IGI,811630024,https://api.igi.org/viewpdf.php?r=811630024,https://workshop.360view.link/360viewer/360view.html?d=2407268-PDKP-3042
PDKP-3043,Fancy Colour,VIVID PINK,PEAR,5.33,5.00–9.99ct,VVS2,,EX,EX,15.03 - 9.46 * 5.48,57.9,70.0,1.59,IGI,811630025,https://api.igi.org/viewpdf.php?r=811630025,https://workshop.360view.link/360viewer/360view.html?d=2407261-PDKP-3043
PDKP-3045,Fancy Colour,VIVID PINK,PEAR,5.09,5.00–9.99ct,VVS2,,EX,EX,14.57 - 9.50 * 5.43,57.2,65.0,1.53,IGI,811630027,https://api.igi.org/viewpdf.php?r=811630027,https://workshop.360view.link/360viewer/360view.html?d=2407262-PDKP-3045
PDKP-2361,Fancy Colour,VIVID PINK,PEAR,5.05,5.00–9.99ct,VS1,,EX,EX,15.56 - 9.26 * 5.37,58.0,65.0,1.68,IGI,807663450,https://api.igi.org/viewpdf.php?r=807663450,https://workshop.360view.link/360viewer/360view.html?d=1506264-PDKP-2361
PDKP-2372,Fancy Colour,VIVID PINK,PEAR,5.04,5.00–9.99ct,VS1,,EX,EX,13.55 - 8.43 * 5.78,68.6,63.0,1.61,IGI,816688496,https://api.igi.org/viewpdf.php?r=816688496,https://workshop.360view.link/360viewer/360view.html?d=0608260-PDKP-2372
